Name,Subtitle,AM Service Time,PM Service Time,Street,City,State,Postcode,Phone,Email,Website,Minister/Pastor,URL,Presbytery,pcharge_status,Latitude,Longitude,Attempt,Lat_adj,Lon_adj
Campbelltown,Unknown,9:00 am,Unknown,40 Lithgow St,Campbelltown,New South Wales,2560,Unknown,Unknown,http://www.ctownpres.com/,Nate Ho,https://preskey.org.au/index.php/new-south-wales-act/item/campbelltown?category_id=48,Presbytery of Sydney South,Full (Sanctioned) Charge,-34.06942,150.81658,0,-34.069393,150.816528
Caringbah,Unknown,9.30,Unknown,393 Port Hacking Road South,Caringbah,New South Wales,2229,Unknown,Unknown,http://www.caringbahchurch.org.au,Graham Self,https://preskey.org.au/index.php/new-south-wales-act/item/caringbah?category_id=48,Presbytery of Sydney South,Full (Sanctioned) Charge,-34.0456,151.12281,0,-34.0432764,151.1235736
Carlingford,Unknown,10.00,6.00,"Roselea Public School,North Rocks Rd",Carlingford,New South Wales,2118,Unknown,Unknown,http://www.carlingford.org.au,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/carlingford-presbyterian-church?category_id=48,Presbytery of Western Sydney,Full (Sanctioned) Charge,-33.76447,151.05194,0,-33.7653863,151.0538584
Casino,Unknown,9.30,Unknown,Canterbury St,Casino,New South Wales,2470,Unknown,Unknown,http://www.casinopc.org.au,George Ayoub,https://preskey.org.au/index.php/new-south-wales-act/item/casino?category_id=48,Presbytery of the Northern Rivers,Full (Sanctioned) Charge,-28.86141,153.03916,0,-28.8628407,153.0481725
"Castle Hill, St Columba's",Unknown,9.30,Unknown,247 Old Northern Rd,Castle Hill,New South Wales,2154,Unknown,Unknown,http://www.facebook.com/St-Columbas-Presbyterian-Church-499513450226209/,Moses Hahn,https://preskey.org.au/index.php/new-south-wales-act/item/castle-hill-st-columba-s?category_id=48,Presbytery of Sydney North,Full (Sanctioned) Charge,-33.73608,151.0033,0,-33.7317524,151.0069279
Chapel Hill Rozelle,Unknown,Unknown,Unknown,665A Darling St,Rozelle,New South Wales,2039,Unknown,Unknown,http://www.chapelhill.org.au,Michael Nhieu,https://preskey.org.au/index.php/new-south-wales-act/item/chapel-hill-presbyterian-church?category_id=48,unknown,Full (Sanctioned) Charge,-33.86332,151.16993,0,-33.8623304,151.1709753
Charlestown,Unknown,9.45,6.00,Smart St,Charlestown,New South Wales,2290,Unknown,Unknown,http://www.charlestownpresbyterian.org.au,Stephen Taylor,https://preskey.org.au/index.php/new-south-wales-act/item/charlestown?category_id=48,Presbytery of the Hunter,Full (Sanctioned) Charge,-32.96371,151.6974,0,-32.963434,151.6952842
"Chatswood, St Andrews",Unknown,9.00; 10.45,6.30,37 Anderson St,Chatswood,New South Wales,2067,Unknown,Unknown,http://www.chatswoodpc.org.au,Jeff Read,https://preskey.org.au/index.php/new-south-wales-act/item/chatswood-st-andrews?category_id=48,Presbytery of Sydney North,Full (Sanctioned) Charge,-33.7943,151.18258,0,-33.7945403,151.1825157
Cherrybrook,Unknown,9.30,Unknown,"John Purchase Public School, Purchase Rd",Cherrybrook,New South Wales,2126,Unknown,Unknown,http://www.cherrybrookpc.org.au,Sylvester Ho Ching Siu,https://preskey.org.au/index.php/new-south-wales-act/item/cherrybrook?category_id=48,Presbytery of Sydney North,Full (Sanctioned) Charge,-33.719,151.03978,0,-33.7185939,151.0388817
Chester Hill,Unknown,9:00 English & 11:00 Korean,Unknown,64 Priam St,Chester Hill,New South Wales,2162,Unknown,Unknown,http://enchristochurch.com.au/,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/chester-hill?category_id=48,Presbytery of Sydney South,Full (Sanctioned) Charge,-33.8784,151.00277,0,-33.8788398,151.0030022
Chinese (Surry Hills),Unknown,9am English; 9am Mandarin;10.30 Cantonese; 12noon Bilingual English/Cantonese,4pm English,Cnr Crown & Albion Sts,Surry Hills,New South Wales,2010,Unknown,Unknown,http://www.cpc.org.au,Christopher Chan,https://preskey.org.au/index.php/new-south-wales-act/item/chinese?category_id=48,Presbytery of Sydney East,Full (Sanctioned) Charge,-33.88354,151.21435,0,-33.8845123,151.2100301
Chinese (Maroubra),Unknown,Unknown,4.00,8 Robey St,Maroubra,New South Wales,2035,Unknown,Unknown,Unknown,Johnnie Li,https://preskey.org.au/index.php/new-south-wales-act/item/chinese-maroubra?category_id=48,Presbytery of Sydney East,Full (Sanctioned) Charge,-33.94223,151.23713,0,-33.9487369,151.2389993
