Name,Subtitle,AM Service Time,PM Service Time,Street,City,State,Postcode,Phone,Website,URL
Liverpool (St Paul),Unknown,9.00,Unknown,117-119 Moore St,Liverpool,New South Wales,2170,Unknown,http://liverpool-presbyterian-church.org/,https://preskey.org.au/index.php/new-south-wales-act/item/liverpool-st-paul?category_id=48
Lockhart,Unknown,8.45 (2nd & 4th & 5th Sun),6.00 (1st & 3rd Sun),58 Hebden St,Lockhart,New South Wales,2656,Unknown,http://www.hentylockhartpresy.org.au/,https://preskey.org.au/index.php/new-south-wales-act/item/lockhart?category_id=48
Macksville,Unknown,8.45,Unknown,49 Wallace St,Macksville,New South Wales,2447,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/macksville?category_id=48
Maclean,Unknown,9.30,Unknown,Cnr River & Church Sts,Maclean,New South Wales,2463,Unknown,http://www.macleanpc.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/maclean?category_id=48
Macquarie Chapel,Unknown,8.30am & 10.30am,Unknown,2 Herring Rd,Eastwood,New South Wales,2122,Unknown,http://www.macchap.com.au,https://preskey.org.au/index.php/new-south-wales-act/item/macquarie-chapel?category_id=48
Maitland,Unknown,9.30 a.m.,Unknown,10 Freechurch St,Maitland,New South Wales,2320,Unknown,https://www.maitlandpresbyterianchurch.org.au/,https://preskey.org.au/index.php/new-south-wales-act/item/maitland?category_id=48
"Manilla, St Andrew's",Unknown,9.30,Unknown,Cnr Rowan & Court Sts,Manilla,New South Wales,2346,Unknown,http://manillapresbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/manilla-st-andrew-s?category_id=48
"Manly, St Andrew's",Unknown,9.45,Unknown,56 Raglan St,Manly,New South Wales,2095,Unknown,http://www.Stamp.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/manly-st-andrew-s?category_id=48
Maroubra,Unknown,10.00,5.00,8 Robey St,Maroubra,New South Wales,2035,Unknown,http://www.maroubrapresbyterian.org.au,https://preskey.org.au/index.php/new-south-wales-act/item/maroubra?category_id=48
Merrylands,Unknown,11.00,Unknown,303 Merrylands Rd,Merrylands,New South Wales,2160,Unknown,Unknown,https://preskey.org.au/index.php/new-south-wales-act/item/merrylands?category_id=48
